"experiment","method","dataset","ANOnto","AROnto","CBOOnto","CBOnto2","CROnto","DITOnto","INROnto","LCOMOnto","NACOnto","NOCOnto","NOMOnto","POnto","PROnto","RFCOnto","RROnto","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"base-llm","llama-3-70b","BigBasketProducts","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-70b","BrazilianE-commerce","1.0","5.0","5.0","5.0","3.0","5.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","llama-3-70b","eCommerce","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","mixtral","CustomerComplaint","1.0","5.0","5.0","5.0","2.0","4.0","5.0","5.0","5.0","3.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT","GPT-4o","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT","GPT-4o","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","GPT-4o","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT","GPT-4o","BrazilianE-commerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT","GPT-4o","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","2.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","GPT-4o","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-2-13b","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-2-13b","AmazonRating","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-2-13b","BigBasketProducts","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","1.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-2-13b","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","4.0","2.0","5.0","5.0","5.0","5.0"
"FT","llama-2-13b","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-2-13b","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-4bits","AirlinesCustomerSatisfaction","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","2.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-4bits","AmazonRating","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-4bits","BigBasketProducts","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","2.0","5.0","5.0","2.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-4bits","BrazilianE-commerce","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","2.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-4bits","CustomerComplaint","5.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-4bits","eCommerce","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","3.0","5.0","5.0","3.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-8bits","AirlinesCustomerSatisfaction","4.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"FT","llama-3-8b-8bits","AmazonRating","5.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
