method,dataset,feature,value,correct
GPT-3.5,AirlinesCustomerSatisfaction,total,4,NA
GPT-3.5,AirlinesCustomerSatisfaction,validity,4,NA
GPT-3.5,AirlinesCustomerSatisfaction,corrected,0,NA
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
GPT-4,AirlinesCustomerSatisfaction,total,8,NA
GPT-4,AirlinesCustomerSatisfaction,validity,8,NA
GPT-4,AirlinesCustomerSatisfaction,corrected,0,NA
GPT-4,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,dbo,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,schema,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,foaf,TRUE
GPT-4,AirlinesCustomerSatisfaction,prefixes,sosa,TRUE
GPT-4o,AirlinesCustomerSatisfaction,total,7,NA
GPT-4o,AirlinesCustomerSatisfaction,validity,7,NA
GPT-4o,AirlinesCustomerSatisfaction,corrected,0,NA
GPT-4o,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,schema,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,foaf,TRUE
GPT-4o,AirlinesCustomerSatisfaction,prefixes,dcterms,TRUE
GPT-3.5,AmazonRating,total,3,NA
GPT-3.5,AmazonRating,validity,3,NA
