"experiment","method","dataset","ANOnto","AROnto","CBOOnto","CBOnto2","CROnto","DITOnto","INROnto","LCOMOnto","NACOnto","NOCOnto","NOMOnto","POnto","PROnto","RFCOnto","RROnto","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"base-llm","GPT-3.5","AirlinesCustomerSatisfaction","1.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-3.5","BigBasketProducts","1.0","5.0","5.0","5.0","1.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-3.5","BrazilianE-commerce","1.0","5.0","5.0","5.0","1.0","5.0","3.0","5.0","5.0","5.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-3.5","CustomerComplaint","1.0","3.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","5.0","5.0","3.0","5.0","3.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-3.5","eCommerce","1.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","3.0","1.0","5.0","5.0","1.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-4","AmazonRating","1.0","5.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-4","BigBasketProducts","1.0","5.0","5.0","5.0","1.0","3.0","5.0","4.0","5.0","5.0","4.0","5.0","4.0","4.0","2.0","3.0","3.0","5.0","3.0"
"base-llm","GPT-4","BrazilianE-commerce","1.0","5.0","5.0","5.0","1.0","5.0","4.0","5.0","5.0","5.0","3.0","5.0","5.0","4.0","1.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-4","CustomerComplaint","1.0","3.0","5.0","5.0","1.0","5.0","5.0","5.0","5.0","1.0","5.0","5.0","4.0","5.0","2.0","5.0","5.0","5.0","5.0"
"base-llm","GPT-4","eCommerce","1.0","5.0","5.0","5.0","1.0","4.0","5.0","4.0","5.0","5.0","5.0","5.0","3.0","5.0","3.0","5.0","3.0","5.0","4.0"
