LLM_model,dataset,top_level_type,low_level_type
Llama-2-7b-8bits,AirlinesCustomerSatisfaction,Incorrect format,-
Llama-2-7b-8bits,AmazonRating,Incorrect format,-
Llama-2-7b-8bits,AmazonRating,Uncommented text,-
Llama-2-7b-8bits,BigBasketProducts,Incorrect format,-
Llama-2-7b-8bits,BigBasketProducts,Uncommented text,-
Llama-2-7b-8bits,BrazilianE-commerce,Incorrect format,-
Llama-2-7b-8bits,BrazilianE-commerce,Uncommented text,-
Llama-2-7b-8bits,CustomerComplaint,Incorrect format,-
Llama-2-7b-8bits,CustomerComplaint,Uncommented text,-
Llama-2-7b-8bits,eCommerce,Incorrect format,-
Llama-2-7b-8bits,eCommerce,Uncommented text,-
Llama-2-13b-4bits,AirlinesCustomerSatisfaction,Incorrect serialization,number of elements
Llama-2-13b-4bits,AirlinesCustomerSatisfaction,Incorrect serialization,ending loop
Llama-2-13b-4bits,AirlinesCustomerSatisfaction,Wrong URIs,-
Llama-2-13b-4bits,AmazonRating,Incorrect format,-
Llama-2-13b-4bits,AmazonRating,Uncommented text,-
Llama-2-13b-4bits,BigBasketProducts,Incorrect serialization,number of elements
Llama-2-13b-4bits,BigBasketProducts,Wrong URIs,-
Llama-2-13b-4bits,BrazilianE-commerce,Incorrect format,-
Llama-2-13b-4bits,BrazilianE-commerce,Uncommented text,-
Llama-2-13b-4bits,BrazilianE-commerce,Wrong URIs,-
Llama-2-13b-4bits,CustomerComplaint,Incorrect format,-
Llama-2-13b-4bits,eCommerce,Incorrect format,-
Llama-2-13b-4bits,eCommerce,Incorrect serialization,number of elements
Llama-2-13b-4bits,eCommerce,Incorrect serialization,shortnames
Llama-2-13b-4bits,eCommerce,Incorrect serialization,dots
Llama-2-13b-4bits,eCommerce,Wrong URIs,-
Llama-2-13b-8bits,AirlinesCustomerSatisfaction,Incorrect serialization,number of elements
Llama-2-13b-8bits,AirlinesCustomerSatisfaction,Incorrect serialization,ending loop
Llama-2-13b-8bits,AirlinesCustomerSatisfaction,Uncommented text,-
Llama-2-13b-8bits,AirlinesCustomerSatisfaction,Wrong URIs,-
Llama-2-13b-8bits,AmazonRating,Uncommented text,-
Llama-2-13b-8bits,AmazonRating,Wrong URIs,-
Llama-2-13b-8bits,BigBasketProducts,Uncommented text,-
Llama-2-13b-8bits,BigBasketProducts,Wrong URIs,-
Llama-2-13b-8bits,BrazilianE-commerce,Incorrect format,-
Llama-2-13b-8bits,BrazilianE-commerce,Uncommented text,-
Llama-2-13b-8bits,BrazilianE-commerce,Wrong URIs,-
Llama-2-13b-8bits,CustomerComplaint,Incorrect serialization,ending loop
Llama-2-13b-8bits,CustomerComplaint,Uncommented text,-
Llama-2-13b-8bits,CustomerComplaint,Wrong URIs,-
Llama-2-13b-8bits,eCommerce,Incorrect serialization,number of elements
Llama-2-13b-8bits,eCommerce,Incorrect serialization,shortnames
Llama-2-13b-8bits,eCommerce,Incorrect serialization,dots
Llama-2-13b-8bits,eCommerce,Uncommented text,-
Llama-2-13b-8bits,eCommerce,Wrong URIs,-
Llama-2-13b,AirlinesCustomerSatisfaction,Incorrect format,-
Llama-2-13b,AmazonRating,Incorrect serialization,number of elements
Llama-2-13b,AmazonRating,Uncommented text,-
Llama-2-13b,AmazonRating,Wrong URIs,-
Llama-2-13b,BigBasketProducts,Incorrect serialization,number of elements
Llama-2-13b,BigBasketProducts,Incorrect serialization,shortnames
Llama-2-13b,BigBasketProducts,Incorrect serialization,dots
Llama-2-13b,BigBasketProducts,Uncommented text,-
Llama-2-13b,BigBasketProducts,Wrong URIs,-
Llama-2-13b,BrazilianE-commerce,Incorrect serialization,number of elements
Llama-2-13b,BrazilianE-commerce,Incorrect serialization,shortnames
Llama-2-13b,BrazilianE-commerce,Incorrect serialization,dots
Llama-2-13b,BrazilianE-commerce,Uncommented text,-
Llama-2-13b,BrazilianE-commerce,Wrong URIs,-
Llama-2-13b,CustomerComplaint,Incorrect serialization,number of elements
Llama-2-13b,CustomerComplaint,Incorrect serialization,ending loop
Llama-2-13b,CustomerComplaint,Uncommented text,-
Llama-2-13b,CustomerComplaint,Wrong URIs,-
Llama-2-13b,eCommerce,Incorrect serialization,number of elements
Llama-2-13b,eCommerce,Incorrect serialization,shortnames
Llama-2-13b,eCommerce,Incorrect serialization,dots
Llama-2-13b,eCommerce,Uncommented text,-
Llama-2-70b-4bits,AirlinesCustomerSatisfaction,Incorrect serialization,ending loop
Llama-2-70b-4bits,AirlinesCustomerSatisfaction,Incorrect serialization,shortnames
Llama-2-70b-4bits,AirlinesCustomerSatisfaction,Incorrect serialization,IDs
Llama-2-70b-4bits,AirlinesCustomerSatisfaction,Incorrect serialization,format numeric values
Llama-2-70b-4bits,AirlinesCustomerSatisfaction,Wrong URIs,-
Llama-2-70b-4bits,AmazonRating,Incorrect format,-
Llama-2-70b-4bits,AmazonRating,Uncommented text,-
Llama-2-70b-4bits,BigBasketProducts,Incorrect format,-
Llama-2-70b-4bits,BigBasketProducts,Uncommented text,-
Llama-2-70b-4bits,BrazilianE-commerce,Incorrect format,-
Llama-2-70b-4bits,BrazilianE-commerce,Uncommented text,-
Llama-2-70b-4bits,CustomerComplaint,Incorrect format,-
Llama-2-70b-4bits,CustomerComplaint,Uncommented text,-
Llama-2-70b-4bits,eCommerce,Incorrect format,-
Llama-2-70b-4bits,eCommerce,Uncommented text,-
